MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,FL_NUM,ORIGIN,DEST,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,ARR_DELAY,CANCELLED,DIVERTED,AIR_TIME,DISTANCE,SOURCE_ROW,RANDOM_VALUE
1,30,1,AA,60,DFW,MIA,-3,20,1742,2050,6,-15,0,0,128,1121,265,0.04152403937603477
1,20,5,WN,4647,CLT,BWI,15,17,2007,2104,4,13,0,0,57,361,1538,0.04164185390231023
1,11,3,WN,1340,BWI,PWM,-6,10,1529,1633,4,-8,0,0,64,452,1714,0.042497904544774645
1,18,3,AA,180,LAX,JFK,-10,16,1636,26,4,-28,0,0,290,2475,27,0.04273019425107916
1,15,7,B6,1853,FLL,SJU,29,16,2234,143,4,29,0,0,129,1046,564,0.04337215506472758
1,25,3,NK,913,MCI,LAS,-7,11,624,705,6,-7,0,0,161,1139,978,0.04430116773388848
1,9,1,DL,1208,ATL,BOS,0,8,1353,1604,8,-8,0,0,131,946,681,0.04467062881990769
1,31,2,DL,1354,ATL,BNA,3,14,1802,1743,6,-4,0,0,41,214,830,0.044826234570057855
1,20,5,WN,4716,MCO,AUS,8,7,1700,1829,6,-5,0,0,149,994,1635,0.04519279267163101
1,28,6,NK,403,LAX,ATL,-2,10,938,1630,8,-6,0,0,232,1946,963,0.04615536505535278
1,13,5,NK,126,MYR,BOS,115,10,38,213,8,116,0,0,95,738,1005,0.04704647948874974
1,3,2,NK,847,LGA,ORD,-10,26,856,948,37,11,0,0,112,733,891,0.04747798872095066
1,15,7,NK,667,BWI,DFW,-6,8,1002,1200,9,-19,0,0,178,1217,946,0.04904844859306767
1,25,3,WN,53,DAL,HOU,-6,13,1937,2028,6,-1,0,0,51,239,1733,0.04929867424932244
1,13,5,UA,1274,MSP,DEN,1,12,903,953,12,-8,0,0,110,680,1177,0.049487203669392854
1,8,7,DL,2270,LAX,MEM,64,33,1526,2031,6,60,0,0,185,1619,707,0.0500871917693545
1,26,4,WN,378,PIT,BWI,23,17,1835,1930,8,33,0,0,55,210,1731,0.05039847473094694
1,17,2,B6,1467,HPN,PBI,-9,11,632,844,3,-42,0,0,132,1056,512,0.05186475998551632
1,22,7,DL,746,RDU,ATL,173,27,2026,2129,5,164,0,0,63,356,883,0.05250297404004034
1,10,2,UA,469,DEN,DFW,-2,23,1301,1517,9,-10,0,0,76,641,1317,0.052884239771512465
1,6,5,AA,1719,DEN,CLT,32,13,1056,1535,7,17,0,0,159,1337,118,0.0530812586574162
1,11,3,DL,1837,ATL,MCO,-1,14,1708,1810,8,-7,0,0,62,404,741,0.05337612890952448
1,19,4,NK,331,LGA,ORD,38,13,2250,2346,8,28,0,0,116,733,973,0.054051479590326745
1,11,3,NK,904,DFW,MCO,-6,15,1629,1931,10,-8,0,0,122,985,915,0.05440989626324899
1,29,7,AA,246,KOA,LAX,17,13,1613,2301,15,7,0,0,288,2504,116,0.05487176013499817
1,10,2,DL,1964,ATL,JAX,-1,10,1642,1723,5,-16,0,0,41,270,766,0.05585517409453178
1,29,7,NK,292,SEA,LAS,-13,10,1434,1631,7,-21,0,0,117,867,1070,0.05659916832921852
1,12,4,AA,970,MCI,DFW,-10,11,1119,1242,8,-14,0,0,83,460,3,0.0580333404729646
1,29,7,NK,311,ACY,MCO,-4,11,607,833,12,9,0,0,146,852,1095,0.05813158341852498
1,19,4,DL,806,DCA,DTW,-11,18,1227,1332,6,-22,0,0,65,405,876,0.058971933401899435
1,15,7,B6,570,FLL,BOS,6,12,1329,1613,5,0,0,0,164,1237,517,0.059050873519008396
1,16,1,NK,719,LAS,LAX,-5,27,2030,2111,22,7,0,0,41,236,1080,0.05949334220651559
1,19,4,AA,1953,CLT,MSY,-7,13,741,824,3,-12,0,0,103,651,102,0.059779164253035755
1,13,5,AA,1806,MIA,CLT,-1,11,1505,1640,6,-17,0,0,95,650,56,0.060763097208647365
1,21,6,B6,465,BOS,RSW,-7,10,603,918,5,-29,0,0,195,1249,571,0.06102068681553552
1,12,4,B6,460,FLL,BDL,-7,8,1041,1307,6,-20,0,0,146,1173,320,0.06166122113223982
1,22,7,WN,1911,PHL,MDW,43,17,1700,1741,4,25,0,0,101,668,1540,0.06251330225568796
1,26,4,WN,1034,OAK,BUR,-2,7,950,1038,2,-10,0,0,48,325,1614,0.06264869850816834
1,18,3,AA,1433,ORD,FLL,-3,9,1156,1521,2,-25,0,0,145,1182,243,0.06277525360608638
1,30,1,UA,2029,MTJ,DEN,-18,13,1310,1344,4,-33,0,0,34,196,1352,0.06350297397379923
1,14,6,B6,113,HPN,FLL,-6,14,808,1039,8,-27,0,0,151,1097,344,0.063950029545086
1,9,1,DL,2420,LGA,MSY,350,32,2012,2157,4,327,0,0,165,1183,806,0.0639539553320202
1,26,4,DL,342,ATL,BNA,0,13,2133,2113,6,-11,0,0,40,214,807,0.0640599884233145
1,4,3,UA,1272,GEG,DEN,-8,11,538,825,11,-20,0,0,107,836,1446,0.06470302196991451
1,8,7,B6,916,SFO,JFK,110,17,1802,132,4,75,0,0,270,2586,565,0.0649621347202669
1,30,1,WN,4205,DCA,IND,-5,18,913,1032,17,-11,0,0,79,500,1603,0.06538270087019649
1,9,1,UA,936,IAH,EWR,6,11,1222,1617,12,-6,0,0,175,1400,1272,0.0661858870111749
1,18,3,B6,280,LGB,LAS,-9,8,1120,1209,6,-12,0,0,49,231,414,0.0663317811098817
1,21,6,WN,4035,DAL,SAT,28,11,1854,1944,5,29,0,0,50,248,1727,0.06637633059727921
1,16,1,DL,1261,ATL,SAN,-1,32,2151,2311,3,-4,0,0,260,1892,644,0.0665079312841318
1,24,2,AA,1133,LAS,LAX,-6,18,1455,1541,11,-13,0,0,46,236,162,0.06765042641666907
1,18,3,B6,984,RDU,BOS,-10,20,1809,1958,6,17,0,0,109,612,466,0.06846760908912541
1,28,6,DL,2075,MCI,ATL,-6,9,1243,1513,5,-24,0,0,90,692,640,0.06927257384710162
1,20,5,NK,678,RSW,DTW,-11,10,1639,1907,7,-16,0,0,148,1084,1057,0.0694940500600898
1,4,3,DL,1833,MCO,ATL,-2,26,754,904,14,11,0,0,70,404,776,0.07040949208592762
1,8,7,DL,82,MSY,ATL,8,10,1218,1419,11,0,0,0,61,425,746,0.07053582673280889
1,20,5,AA,2448,EGE,DFW,21,12,1442,1719,11,13,0,0,97,721,284,0.07102980258467062
1,16,1,AA,2561,LAX,DFW,5,13,1108,1538,10,-15,0,0,150,1235,9,0.07178464233813753
1,4,3,NK,899,DTW,MCO,-2,34,1655,1905,11,7,0,0,130,957,985,0.07217342122017856
1,11,3,AA,2385,SAT,DFW,-12,17,2000,2043,14,-7,0,0,43,247,266,0.07236981959374222
1,11,3,UA,299,IAD,TPA,-6,11,1240,1431,7,-27,0,0,111,811,1257,0.07316647755280314
